k,instance,max_cost,min_cost,std_cost
2,1,4.3336973,3.997612,0.16804266
2,2,3.9638178,3.8295183,0.06714976
2,3,4.6105967,3.4546118,0.57799244
2,4,4.4855533,3.987129,0.24921215
2,5,4.9321465,3.7744908,0.57882786
2,6,4.6047363,3.7354808,0.43462777
2,7,5.149791,3.6832817,0.73325455
2,8,4.7981205,3.6133065,0.592407
2,9,3.899538,3.6398818,0.1298281
2,10,4.30809,4.199793,0.054148674
4,1,3.3650389,1.4129562,0.69083154
4,2,3.1814237,1.0639248,0.81960315
4,3,3.014145,1.2776124,0.71661204
4,4,3.1752126,1.8446007,0.5422759
4,5,2.6704,2.1610787,0.2347595
4,6,3.1094978,1.282627,0.72834736
4,7,3.0085793,1.8630522,0.41152138
4,8,3.283139,1.6050205,0.5968939
4,9,2.7308102,1.6786214,0.3929739
4,10,2.926152,1.8556706,0.4093832
6,1,2.5678985,0.18997416,0.76527643
6,2,2.7830703,1.1212815,0.69661236
6,3,2.8637924,0.95234704,0.66544294
6,4,3.0936508,0.54199755,0.8626751
6,5,2.7100084,0.76418865,0.73967004
6,6,2.4808602,1.0221379,0.5616153
6,7,2.9194894,0.75050694,0.7151205
6,8,2.5266669,0.79111564,0.6035454
6,9,2.6230588,0.58369553,0.6186477
6,10,2.5899334,0.64364314,0.66018796
8,1,2.229733,0.0,0.67445683
8,2,2.3425355,0.0,0.75324965
8,3,2.709458,0.0,0.8015161
8,4,2.7707314,0.0,0.83560914
8,5,2.9012525,0.0,0.8763671
8,6,2.569033,0.0,0.8007793
8,7,3.0559,0.0,0.8981004
8,8,2.6804242,0.0,0.8949379
8,9,2.1586876,0.0,0.61342233
8,10,2.546495,0.0,0.85583884
10,1,2.2093985,0.0,0.6891929
10,2,2.293384,0.0,0.757298
10,3,2.1966696,0.0,0.7145015
10,4,2.6171548,0.0,0.791849
10,5,2.5730443,0.0,0.7900888
10,6,2.441418,0.0,0.7454541
10,7,2.5666194,0.0,0.79532
10,8,2.366394,0.0,0.76419246
10,9,1.9146423,0.0,0.60526276
10,10,2.3841598,0.0,0.7326005
